scheibe_id,lochkreis,werkstoff,werkzeug_id,bohrung_nr,VB,VBmax,isp_max,isp_mittel,isp_std,iz_max,iz_mittel,iz_std
1,aussen,DA718,7,2,45.166666666666664,100.83333333333333,0.458,0.3385,0.0812,,,
1,aussen,DA718,7,6,87.5,132.66666666666666,0.957,0.60744,0.29881,1.0997,1.02467,0.063
1,aussen,DA718,7,10,118.83333333333333,152.33333333333334,1.0459,0.65701,0.34728,1.1235,1.01308,0.05692
1,aussen,DA718,7,14,141.33333333333334,172.83333333333334,1.217,0.9345,0.2767,,,
1,aussen,DA718,7,18,148.5,192.66666666666666,1.0459,0.81245,0.2186,1.1759,1.06718,0.11774
1,aussen,DA718,8,2,58.333333333333336,125.83333333333333,0.8135,0.54573,0.17287,1.1331,1.03006,0.04296
1,aussen,DA718,8,6,96.5,148.5,0.841,0.6419,0.1651,1.1711,1.06579,0.10664
1,aussen,DA718,8,10,117.5,171.5,0.984,0.6976,0.1851,1.19,1.092,0.103
1,aussen,DA718,8,14,142.0,185.5,0.943,0.7494,0.1881,1.204,1.0975,0.1019
1,aussen,DA718,8,18,165.0,204.66666666666666,0.991,0.777,0.2063,1.233,1.1152,0.1029
1,aussen,DA718,9,2,56.5,123.0,0.52,0.377,0.107,1.214,1.1138,0.0706
1,aussen,DA718,9,6,91.66666666666667,150.33333333333334,0.622,0.5102,0.1281,1.209,1.104,0.0943
1,aussen,DA718,9,10,122.66666666666667,168.66666666666666,0.704,0.5604,0.1433,1.228,1.112,0.1044
1,aussen,DA718,9,14,149.83333333333334,187.33333333333334,0.759,0.6004,0.1651,1.233,1.1185,0.1001
1,aussen,DA718,9,18,171.5,204.83333333333334,0.82,0.6546,0.1741,1.204,1.098,0.0962
1,aussen,DA718,10,2,54.5,124.0,0.513,0.4011,0.1033,1.157,1.0482,0.0851
1,aussen,DA718,10,6,93.5,151.16666666666666,0.581,0.4719,0.1284,1.195,1.1007,0.0908
1,aussen,DA718,10,10,122.0,170.16666666666666,0.663,0.5402,0.1499,1.219,1.1181,0.095
1,aussen,DA718,10,14,143.66666666666666,186.33333333333334,0.752,0.617,0.1588,1.243,1.1342,0.1065
1,aussen,DA718,10,18,175.16666666666666,204.0,0.793,0.6489,0.1732,1.228,1.1216,0.096
1,aussen,DA718,11,2,54.833333333333336,134.83333333333334,0.479,0.3767,0.1024,1.16,1.064,0.098
1,aussen,DA718,11,6,94.5,153.66666666666666,0.629,0.499,0.139,1.195,1.0884,0.0875
1,aussen,DA718,11,10,121.83333333333333,175.16666666666666,0.677,0.5444,0.149,1.181,1.0782,0.0941
1,aussen,DA718,11,14,145.33333333333334,189.16666666666666,0.786,0.6171,0.1709,1.209,1.1035,0.0937
1,aussen,DA718,11,18,165.0,207.66666666666666,0.8,0.6402,0.1727,1.219,1.1266,0.1043
1,aussen,DA718,12,2,55.833333333333336,117.16666666666667,0.54,0.4098,0.1087,1.14,1.043,0.087
1,aussen,DA718,12,6,96.33333333333333,145.66666666666666,0.622,0.4875,0.1321,1.214,1.0982,0.0937
1,aussen,DA718,12,10,122.16666666666667,164.0,0.718,0.5747,0.1471,1.224,1.1156,0.0824
1,aussen,DA718,12,14,151.5,185.83333333333334,0.793,0.6303,0.1656,1.243,1.1324,0.1054
1,aussen,DA718,12,18,167.0,199.66666666666666,0.793,0.6195,0.1818,1.247,1.1321,0.1033
1,aussen,DA718,13,2,54.666666666666664,120.66666666666667,0.663,0.5181,0.1283,1.204,1.0977,0.0931
1,aussen,DA718,13,6,90.66666666666667,147.83333333333334,0.848,0.6532,0.1687,1.185,1.0738,0.0999
1,aussen,DA718,13,10,118.5,169.66666666666666,0.95,0.7298,0.1657,1.176,1.0746,0.106
1,aussen,DA718,13,14,143.5,184.83333333333334,0.916,0.7314,0.1828,1.195,1.087,0.1021
1,aussen,DA718,13,18,166.66666666666666,200.5,0.971,0.7771,0.2006,1.238,1.1198,0.0983
1,aussen,DA718,14,2,53.666666666666664,144.83333333333334,0.854,0.6705,0.1637,1.166,1.0632,0.0936
1,aussen,DA718,14,6,92.66666666666667,167.33333333333334,0.957,0.7641,0.1792,1.2,1.0816,0.0955
1,aussen,DA718,14,10,120.16666666666667,186.33333333333334,1.053,0.8157,0.2079,1.252,1.1328,0.1074
1,aussen,DA718,14,14,143.33333333333334,198.33333333333334,1.087,0.8652,0.2149,1.233,1.1253,0.1058
1,aussen,DA718,14,18,167.33333333333334,217.5,1.162,0.9059,0.2394,1.304,1.1713,0.0991
1,mittel,IN718,1,2,39.3333333333333,108.33333333333333,0.3076,0.24549,0.05112,0.557,0.4497,0.0478
1,mittel,IN718,1,6,68.66666666666667,137.0,0.383,0.3221,0.0681,0.557,0.4436,0.0521
1,mittel,IN718,1,10,90.66666666666667,145.16666666666666,0.4375,0.36527,0.07603,0.557,0.4459,0.0582
1,mittel,IN718,1,14,103.33333333333333,157.83333333333334,0.513,0.4416,0.0944,0.576,0.4795,0.0548
1,mittel,IN718,1,18,118.16666666666667,166.0,0.561,0.4764,0.0999,0.59,0.4704,0.0619
1,mittel,IN718,2,2,49.0,104.0,0.4,0.299,0.076,0.495,0.395,0.0532
1,mittel,IN718,2,6,64.83333333333333,128.16666666666666,0.492,0.382,0.0843,0.543,0.4199,0.0626
1,mittel,IN718,2,10,78.66666666666667,137.83333333333334,0.513,0.4066,0.0894,0.538,0.4356,0.072
1,mittel,IN718,2,14,93.33333333333333,143.16666666666666,0.561,0.4522,0.1056,0.543,0.4245,0.0678
1,mittel,IN718,2,18,104.66666666666667,161.33333333333334,0.677,0.5427,0.1278,0.567,0.4458,0.0647
1,mittel,IN718,3,2,40.833333333333336,98.5,0.376,0.2747,0.0696,0.5,0.3909,0.0567
1,mittel,IN718,3,6,65.66666666666667,116.83333333333333,0.465,0.3617,0.0768,0.505,0.4082,0.0671
1,mittel,IN718,3,10,80.83333333333333,132.0,0.567,0.4322,0.096,0.538,0.4288,0.0603
1,mittel,IN718,3,14,107.83333333333333,146.5,0.697,0.5548,0.1281,0.543,0.4275,0.061
1,mittel,IN718,3,18,119.5,159.33333333333334,0.608,0.497,0.1095,0.524,0.4235,0.0622
1,mittel,IN718,4,2,41.5,113.66666666666667,0.355,0.2703,0.0617,0.486,0.3857,0.0523
1,mittel,IN718,4,6,63.0,137.5,0.438,0.3506,0.0782,0.509,0.4061,0.0574
1,mittel,IN718,4,10,74.66666666666667,145.83333333333334,0.561,0.4334,0.0985,0.514,0.4069,0.0611
1,mittel,IN718,4,14,98.5,158.33333333333334,0.663,0.524,0.1251,0.528,0.4226,0.0703
1,mittel,IN718,4,18,114.83333333333333,172.66666666666666,0.731,0.5988,0.1384,0.552,0.4381,0.0652
1,mittel,IN718,5,2,42.5,109.83333333333333,0.485,0.3571,0.0802,0.481,0.3816,0.0441
1,mittel,IN718,5,6,65.33333333333333,128.66666666666666,0.52,0.3789,0.0922,0.519,0.4202,0.0627
1,mittel,IN718,5,10,84.83333333333333,142.0,0.649,0.4703,0.1096,0.528,0.4256,0.0679
1,mittel,IN718,5,14,100.33333333333333,155.83333333333334,0.704,0.5158,0.1101,0.552,0.4412,0.0733
1,mittel,IN718,5,18,120.66666666666667,167.5,0.69,0.5529,0.1242,0.552,0.4425,0.0746
1,mittel,IN718,6,2,42.0,114.16666666666667,0.349,0.264,0.0574,0.519,0.3984,0.0541
1,mittel,IN718,6,6,69.83333333333333,127.83333333333333,0.424,0.3449,0.0751,0.562,0.4464,0.0579
1,mittel,IN718,6,10,89.33333333333333,144.5,0.479,0.3865,0.0857,0.557,0.4394,0.0627
1,mittel,IN718,6,14,104.16666666666667,154.83333333333334,0.588,0.4644,0.1088,0.557,0.4419,0.0712
1,mittel,IN718,6,18,118.66666666666667,165.83333333333334,0.608,0.5001,0.1093,0.571,0.4564,0.0767
2,aussen,DA718,15,2,44.333333333333336,137.33333333333334,0.533,0.42,0.1171,1.19,1.088,0.069
2,aussen,DA718,15,6,86.33333333333333,150.0,0.663,0.5027,0.1441,1.17,1.071,0.098
2,aussen,DA718,15,10,117.5,169.66666666666666,0.704,0.5543,0.1653,1.21,1.113,0.093
2,aussen,DA718,15,14,144.0,186.83333333333334,0.793,0.6144,0.18,1.22,1.125,0.092
2,aussen,DA718,15,18,164.0,198.16666666666666,0.841,0.6932,0.1924,1.22,1.104,0.103
2,aussen,DA718,17,2,36.5,92.5,0.1299,0.08027,0.03178,1.14,1.06,0.086
2,aussen,DA718,17,6,69.5,127.0,0.485,0.3907,0.109,1.22,1.125,0.09
2,aussen,DA718,17,10,101.33333333333333,151.5,0.567,0.46,0.1374,1.266,1.1695,0.0822
2,aussen,DA718,17,14,125.5,167.5,0.649,0.5329,0.1517,1.295,1.1734,0.1031
2,aussen,DA718,17,18,151.83333333333334,182.66666666666666,0.731,0.6013,0.1724,1.314,1.1958,0.1049
2,aussen,DA718,18,2,50.833333333333336,109.66666666666667,0.485,0.3881,0.1016,1.1949,1.10314,0.08377
2,aussen,DA718,18,6,89.33333333333333,133.33333333333334,0.608,0.4958,0.126,1.2,1.098,0.083
2,aussen,DA718,18,10,115.0,150.83333333333334,0.697,0.5689,0.1526,1.252,1.1496,0.0819
2,aussen,DA718,18,14,138.0,165.83333333333334,0.766,0.5975,0.1677,1.24,1.14,0.084
2,aussen,DA718,18,18,159.33333333333334,182.16666666666666,0.813,0.6488,0.1815,1.29,1.168,0.0862
2,aussen,DA718,19,2,43.333333333333336,105.16666666666667,0.362,0.2785,0.0799,1.2,1.112,0.065
2,aussen,DA718,19,6,73.0,126.83333333333333,0.492,0.3945,0.1079,1.24,1.137,0.082
2,aussen,DA718,19,10,112.16666666666667,150.66666666666666,0.615,0.5,0.1368,1.27,1.16,0.079
2,aussen,DA718,19,14,135.5,164.83333333333334,0.711,0.5705,0.1605,1.304,1.1678,0.0811
2,aussen,DA718,19,18,154.16666666666666,178.5,0.807,0.6454,0.1801,1.27,1.166,0.06
2,aussen,DA718,20,2,43.833333333333336,119.83333333333333,0.458,0.3601,0.0996,1.2,1.103,0.076
2,aussen,DA718,20,6,81.0,142.66666666666666,0.561,0.4429,0.1276,1.26,1.168,0.082
2,aussen,DA718,20,10,110.16666666666667,159.33333333333334,0.697,0.5659,0.1483,1.25,1.155,0.074
2,aussen,DA718,20,14,137.16666666666666,176.5,0.697,0.5524,0.15,1.29,1.189,0.082
2,aussen,DA718,20,18,157.16666666666666,189.33333333333334,0.772,0.6231,0.1765,1.31,1.195,0.082
2,aussen,DA718,21,2,47.5,139.5,0.41,0.3251,0.094,1.23,1.131,0.081
2,aussen,DA718,21,6,76.16666666666667,158.0,0.526,0.4229,0.1223,1.25,1.144,0.073
2,aussen,DA718,21,10,111.0,174.66666666666666,0.697,0.5249,0.1543,1.26,1.169,0.063
