target,signal,n_obs,n_folds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
VB,isp_mittel,140,28.0,27.106118312414015,7.578717198406561,23.160058124003996,6.936281733046135,0.469881753819612,0.3895014510488833
VB,isp_std,140,28.0,28.59398839047844,15.549489635569888,23.65837468196006,11.878020422282695,0.28897917547089,1.2895464124551714
VB,isp_max,140,28.0,29.361433339780017,7.120516032093452,24.941772083152948,6.075644433432373,0.3882501232766168,0.37318830464843267
VB,iz_max,138,28.0,31.875446149385898,9.05067184669732,27.346000008258052,8.887492315625321,0.17610102671417469,0.9332144111869913
VB,iz_mittel,138,28.0,32.974083960057435,9.286580332804757,28.196768464729022,8.68947980008497,0.12689209142970212,0.9508079961677595
VB,iz_std,138,28.0,35.27665108392175,4.88954381859348,29.856317019772412,5.408745818759742,0.14967257445161672,0.19426960348923727
VBmax,isp_mittel,140,28.0,19.70504879186382,7.676163065597717,17.046036435669322,7.47572854668917,0.3326225237438177,0.632031991407078
VBmax,isp_max,140,28.0,21.378643749904338,7.678857027569083,18.496655580036208,7.102036843747538,0.24129744119717061,0.6313139488156522
VBmax,isp_std,140,28.0,21.4047480872971,12.581654677624316,17.912743750980287,9.87844216198494,0.1944292235894669,1.0961252703663387
VBmax,iz_max,138,28.0,22.965538574487017,6.537363604861409,19.589294765414998,6.1935940326747705,0.16576428209015578,0.48112590614972917
VBmax,iz_std,138,28.0,23.653397164359465,5.124877726773586,19.764745616062147,4.727051633146031,0.14061851265565004,0.3678641579969855
VBmax,iz_mittel,138,28.0,23.926644203002382,6.72837169371575,20.294108013697638,6.041688583333258,0.09793233763688017,0.5001450666722032
