target,protocol,feature_set,model,n_obs,n_folds,rmse_mean,rmse_std,rmse_train_mean,mae_mean,mae_std,r2_mean,r2_std,overfit_gap
VB,LODO (scheibe_id),all6,gradient_boosting,138,4.0,17.453335152302824,3.913900333438225,10.132226388382342,13.799628217693767,3.186942114564017,0.7851412307637226,0.10418800783721026,7.321108763920481
VB,LODO (scheibe_id),all6,random_forest,138,4.0,18.92768705256178,5.358134441254864,14.020284427098247,14.024113696553094,3.548418586530613,0.7394986211531284,0.1500435967787886,4.907402625463533
VB,LODO (scheibe_id),all6,linear_regression,138,4.0,20.01127067270789,3.1403658034876196,18.15136135321798,15.498530834206008,1.6545478652185257,0.7258019605881325,0.09575517240555101,1.859909319489912
VB,LODO (scheibe_id),reduced (VIF<1.2),gradient_boosting,138,4.0,18.98619589456516,5.85815324980081,12.131522123511237,14.07675897364309,4.497814971120432,0.7340214260462986,0.1579738049372595,6.854673771053923
VB,LODO (scheibe_id),reduced (VIF<1.2),random_forest,138,4.0,19.702971794869207,5.522260183243104,15.13530023165694,14.878147418871876,4.170123645507293,0.7175887844005913,0.16013485595195523,4.567671563212267
VB,LODO (scheibe_id),reduced (VIF<1.2),linear_regression,138,4.0,21.403940502427375,4.72608138738331,20.234555131864607,16.83257340442361,3.164550395027728,0.6811107823421265,0.15286646515821292,1.1693853705627681
VB,LOTO (werkzeug_id),all6,random_forest,138,28.0,16.765068455775033,8.524235603401506,14.206756512179492,13.572741838012789,6.92004849249672,0.723794889357363,0.38631709656524416,2.558311943595541
VB,LOTO (werkzeug_id),all6,gradient_boosting,138,28.0,16.875376857661657,8.99843786251864,10.834398573400364,14.338675446099595,8.662070948336284,0.6839863710354022,0.6470568303536568,6.040978284261293
VB,LOTO (werkzeug_id),all6,linear_regression,138,28.0,20.65060500912959,11.846558829808483,18.321889328702387,17.750364833250035,11.285427274334568,0.5053096432729254,1.0849352250235385,2.3287156804272016
VB,LOTO (werkzeug_id),reduced (VIF<1.2),gradient_boosting,138,28.0,17.064413855318037,9.51935024172593,12.814295008773666,13.820869310177754,8.407982312503767,0.698669779587871,0.46724331213215853,4.250118846544371
VB,LOTO (werkzeug_id),reduced (VIF<1.2),random_forest,138,28.0,17.80400733225137,8.75291383628974,15.302833349782176,14.685495274387533,7.464571427282542,0.7114522155525501,0.3247631056030232,2.5011739824691936
VB,LOTO (werkzeug_id),reduced (VIF<1.2),linear_regression,138,28.0,20.19190728064869,9.790976756636278,20.45659556268817,17.1177741712992,9.868214818465404,0.6465203824033467,0.4190569548664048,-0.2646882820394829
VBmax,LODO (scheibe_id),all6,gradient_boosting,138,4.0,14.581721024159139,1.9933361927800979,8.228166832381302,11.846332990704568,1.5435135754215399,0.7014472189012222,0.1000252735657884,6.353554191777837
VBmax,LODO (scheibe_id),all6,random_forest,138,4.0,15.979954730485417,4.586573885070207,11.039765436050423,12.9827449015964,3.4985671814522474,0.6168797328641897,0.26043510686891835,4.940189294434994
VBmax,LODO (scheibe_id),all6,linear_regression,138,4.0,16.85928286094841,2.289487571996887,13.47047230840949,13.26068584644671,1.826057687511218,0.5974730466973301,0.15580681356531392,3.3888105525389207
VBmax,LODO (scheibe_id),reduced (VIF<1.2),gradient_boosting,138,4.0,14.860080621443736,1.8203686398982275,9.39472494302624,12.162601389436102,1.569522678760466,0.6909709630322743,0.09561411014819546,5.465355678417495
VBmax,LODO (scheibe_id),reduced (VIF<1.2),random_forest,138,4.0,16.640279234505027,4.48718296324909,11.677005665871098,13.507984853743745,3.5831743934520244,0.5886922039825276,0.261491680745739,4.963273568633928
VBmax,LODO (scheibe_id),reduced (VIF<1.2),linear_regression,138,4.0,17.084569000490433,2.4588343409010975,14.358188956761609,14.03112131966787,2.86751302230739,0.5853918678540292,0.16816436449309013,2.726380043728824
VBmax,LOTO (werkzeug_id),all6,gradient_boosting,138,28.0,13.482119228371204,5.092999207333827,8.822365412104501,11.727962912781994,4.774095438378631,0.6835633973968752,0.2637333920037111,4.6597538162667025
VBmax,LOTO (werkzeug_id),all6,random_forest,138,28.0,13.79854362614171,4.944336072775205,11.222867213971968,11.692116851251884,4.276784277535361,0.6737404390481406,0.25642274125017056,2.5756764121697415
VBmax,LOTO (werkzeug_id),all6,linear_regression,138,28.0,15.415690515109418,7.432803243096815,13.72818878903314,13.312986538351165,6.826979430119165,0.5582411179019344,0.5015337438461296,1.6875017260762775
VBmax,LOTO (werkzeug_id),reduced (VIF<1.2),gradient_boosting,138,28.0,13.337678061896842,5.067074743287511,9.774062766056147,11.282990116694053,4.812451148930267,0.6876069612084852,0.2549564632456321,3.5636152958406946
VBmax,LOTO (werkzeug_id),reduced (VIF<1.2),random_forest,138,28.0,14.304190273139584,5.361082930135415,11.910570744194908,12.042243270013845,5.031696372948736,0.6441481584997526,0.27429255305354294,2.393619528944676
VBmax,LOTO (werkzeug_id),reduced (VIF<1.2),linear_regression,138,28.0,14.807851799041755,5.76372799513186,14.602594463001282,12.828460591989455,5.498059454894789,0.6211650221128873,0.3143515713675056,0.20525733604047325
